AIS-01,18.11,18.2,18.7,9.5
AIS-03,18.11,18.2,18.7,9.5
AIS-04,16.11
BCR-11,10.1,10.2,10.3,10.4,10.5
CCC-04,18.3,2.1,2.7,7.1,7.2,7.3,9.4
CCC-05,11.3,5.1,5.2,5.3,5.4,5.5
DCS-01,1.1,1.3,1.4,1.5,15.1,2.3,2.4,2.5
DCS-06,12.7
DSI-02,11.6,11.7,14.1,15.10,2.10
EKM-01,14.4,14.8
EKM-02,14.4,14.8
EKM-03,14.4,14.8,10.1,10.2,10.3,10.4,10.5,13.7,8.4
HRS-04,16.7
HRS-05,12.12,13.6,8.1,13.7,8.4
HRS-09,17.1,17.2,17.3,18.6
IAM-03,15.6,2.1,8.4,9.2,9.3
IAM-04,11.6,14.6,4.1,4.3,4.6,11.5,16.10,16.2,4.5
IAM-08,16.10,16.7
IAM-09,16.10,16.7,11.6,14.6,4.1,4.3,4.6,13.4,14.6
IAM-10,16.10,16.7,16.8,16.9
IAM-11,16.7
IAM-12,16.5,4.2
IPY-01,18.3,2.1,2.7,7.1,7.2,7.3,9.4
IPY-02,18.3,2.1,2.7,7.1,7.2,7.3,9.4
IVS-01,14.9,6.2,6.3,7.6,12.5,12.6,12.8,13.3,13.5,13.9,15.10,16.12,16.13,20.2,6.2,6.6,6.7,8.1,8.4,6.2,18.5
IVS-02,11.3,5.1,5.2,5.3,5.4,5.5
IVS-03,6.1
IVS-04,6.4
IVS-05,11.4,18.11,20.1,20.2,20.3,20.4,20.5,20.6,20.7,3.1,3.3,3.4,3.6,3.7,5.1
IVS-06,13.4,11.6,11.7,14.1,15.10,2.10,12.9,16.5,1.7,11.1,11.2,11.3,11.5,12.3,12.5,12.6,12.7,13.4,15.1,15.2,15.5,15.6,15.7,15.8,7.5,8.7,9.4
IVS-07,15.6,2.1,8.4,9.2,9.3,18.3,2.1,2.7,7.1,7.2,7.3,9.4
IVS-08,18.9
IVS-09,11.6,11.7,14.1,15.10,2.10,12.9,16.5
IVS-10,11.6,11.7,14.1,15.10,2.10,1.7,11.1,11.2,11.3,11.5,12.3,12.5,12.6,12.7,13.4,15.1,15.2,15.5,15.6,15.7,15.8,7.5,8.7,9.4
IVS-11,11.6,14.6,4.1,4.3,4.6
IVS-12,1.7,11.1,11.2,11.3,11.5,12.3,12.5,12.6,12.7,13.4,15.1,15.2,15.5,15.6,15.7,15.8,7.5,8.7,9.4
IVS-13,1.7,11.1,11.2,11.3,11.5,12.3,12.5,12.6,12.7,13.4,15.1,15.2,15.5,15.6,15.7,15.8,7.5,8.7,9.4,19.7
MOS-01,17.1,17.2,17.3,18.6
MOS-02,12.12,13.6,8.1
MOS-03,12.12,13.6,8.1
MOS-04,17.1,17.2,17.3,18.6
MOS-05,12.12,13.6,8.1,17.1,17.2,17.3,18.6
MOS-07,11.3,5.1,5.2,5.3,5.4,5.5
MOS-09,1.1,1.3,1.4,1.5,15.1,2.3,2.4,2.5
MOS-10,12.12,13.6,8.1
MOS-11,12.12,13.6,8.1
MOS-12,12.12,13.6,8.1
MOS-14,16.11
MOS-15,11.3,5.1,5.2,5.3,5.4,5.5
MOS-16,16.5,4.2
MOS-17,12.12,13.6,8.1,7.8,7.9,8.1,8.3,8.4,10.1,10.2,10.3,10.4,10.5
MOS-18,12.12,13.6,8.1
MOS-19,12.12,13.6,8.1
SEF-02,19.1,19.2,19.3,19.4,19.5,19.6,19.7
SEF-03,19.1,19.2,19.3,19.4,19.5,19.6,19.7
SEF-04,19.1,19.2,19.3,19.4,19.5,19.6
STA-02,19.1,19.2,19.3,19.4,19.5,19.6
TVM-01,7.8,7.9,8.1,8.3,8.4
TVM-02,11.4,18.11,20.1,20.2,20.3,20.4,20.5,20.6,20.7,3.1,3.3,3.4,3.6,3.7,5.1
