AC-11(1),CC6.7
AC-2(1),CC6.2,CC6.3,CC6.6,CC6.1,CC6.2,CC6.3,CC6.1
AC-2(2),CC6.2,CC6.3,CC2.3,CC6.2,CC6.3,CC6.4
AC-2(3),CC6.2,CC1.5,CC2.3,CC6.2,CC6.3,CC6.4
AC-2(4),CC6.1,CC6.2,CC1.5
AC-20(1),CC5.1,CC3.2,CC6.7,CC6.1,CC8.1,CC6.1
AC-6(1),CC6.1,CC2.2,CC2.3,CC6.2,CC6.3,CC6.1,CC6.2,CC6.3,CC6.6
AC-6(2),CC6.1,CC6.2,CC6.3,CC6.6
AC-6(5),CC6.1,CC6.1,CC6.2,CC6.3,CC6.6
AU-9(4),CC6.1
CA-2(1),PI1.5,CC4.1
CA-7(1),PI1.5,CC4.1
CM-2(1),CC8.1,CC6.1,CC6.7
CM-3(2),CC8.1
CM-7(1),CC6.1
CM-7(2),CC6.1
CM-8(1),CC6.1
CM-8(3),CC7.1,CC7.2,CC7.3,CC7.4,CC7.5,CC8.1,CC6.1
CM-8(5),CC6.1
CP-2(1),CC7.5,A1.2,CC3.1,CC3.2,A1.2,CC7.3
CP-2(3),CC7.5,A1.2,CC3.1,CC3.2,A1.2,CC7.3
CP-2(8),CC7.5,A1.2,CC3.1,CC3.2,A1.2,CC7.3,CC3.2,CC6.1,A1.1
CP-4(1),CC3.1,A1.3,CC7.5
CP-6(1),A1.2,CC3.1,CC3.2,A1.2
CP-6(3),A1.2
CP-7(1),A1.2,CC3.1,CC3.2,A1.2
CP-7(2),A1.2
CP-7(3),A1.2
CP-8(1),CC6.4,A1.2,CC3.1,CC3.2,CC7.3,A1.2
CP-8(2),CC6.4,A1.2,CC3.1,CC3.2,CC7.3,A1.2
IA-2(1),CC6.2,CC6.3
IA-2(2),CC6.2,CC6.3
IA-5(1),CC6.2,CC6.3,CC6.1
IA-5(2),CC6.2,CC6.3
IA-5(3),CC6.2,CC6.3
IR-3(2),CC3.1,A1.3,CC7.5
MA-3(1),CC5.2
MA-3(2),CC5.2
MA-4(2),CC5.2
PE-13(3),A1.2
PE-6(1),CC6.1,CC6.4,CC7.2,A1.2,CC6.1,CC6.4,CC7.2,A1.2
SC-7(4),CC6.1,CC6.6,CC6.7,CC6.8,CC7.1,CC8.1
SC-7(5),CC6.1,CC6.6,CC6.7,CC6.8,CC7.1,CC8.1
SC-8(1),CC3.1,PI1.3,CC6.6,CC6.7,CC6.1,CC2.3,CC6.1,CC6.7
SI-4(4),CC5.1,CC3.2
