1,10.m,01.l,10.h,01.m,09.m,01.c
10,10.b,10.c,10.e,05.j,10.b,10.e,01.t,09.s,01.k,01.d,09.aa,09.ab,09.ad,09.ae,09.af,01.i,01.m,01.n,09.m,09.d,01.m,01.n,09.m,09.k
12,01.c,01.q,01.b
13,10.m,01.l,10.h,01.m,09.m,01.c
2,06.i,05.h,06.i,06.j,06.a,09.x,09.y,06.d,10.g,06.d,09.l,09.o,09.s,10.f,10.a,00.a,05.a,05.c,05.a,04.a,10.f,02.f,03.d,04.b,03.b,03.a,03.c,05.a,02.h,01.x,09.o,09.u,02.a,05.c,06.g,07.c,02.e,01.g,02.d,01.h,06.j,01.a,01.l,09.c,10.j,05.i,01.b,01.c,01.i,01.v,10.j,01.e,02.g,02.i,01.s,05.f,05.g,11.a,11.c,11.a,11.b,11.c,11.a,11.e,11.d,05.i,11.a,05.k,09.n,06.g,03.a,05.i,05.k,09.e,09.f,09.j,09.k,10.m
3,02.d,05.e,05.k,05.i,05.k,09.t,05.k
4,06.i,05.h,06.i,06.j,06.a,03.d,03.b,03.a,03.c,05.a,05.i,05.f,05.g,05.k,09.e,09.f
5,09.l,07.d,01.m,07.e,10.i,07.b,08.l,09.p,03.b
6,10.h,10.h,09.s,09.s
7,12.d,12.e,08.h,08.i,09.a,09.r,08.d,08.g,08.j,08.h,12.a,12.b,12.c,09.a,09.h
8,12.d,12.e,08.h,08.i,09.a,09.r,08.d,08.g,08.j,08.h,12.a,12.b,12.c,09.a,07.a,07.b,08.a,08.k,08.m,08.k,08.c,08.b,08.f,08.b,08.i,09.h
9,02.d
