APO01,1,2,3,6,7
APO01.01,1,2,3
APO01.02,1,2,3,4,5,11,3,6,6,7,6,7,8,9,6,7,8,5,6,7,5,6,7,11,6,7,8,1,2,3
APO01.03,1,2,3,6,7,9,10,11,6,7,8,3,6,1,2,3,6,7,6,7,6,7,8,9,6,7,8,1,2,3,3,6,5,6,7,5,6,7,11,2,5,11,6,7,8,6,7,8,10,6,7,9,10,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,2,3,1,2,3,2,6,8,2,6,8,6,7,8,4,5,4,5,1,2,3,5,11
APO01.04,6,7,8,3,6,1,2,3
APO01.06,1,2,3,9,4,5,9,10,11,8,9,10,9,10,11,6,10,11,2,4,5,11
APO01.08,6,7,8,3,6,6,7,6,7,8,9,6,7,8,1,2,3,3,6,5,6,7,5,6,7,11,2,5,11,6,7,8,6,7,8,10,6,7,9,10,6,7,8,9,10,6,7,8,10,6,7,8,6,7,8,9,1,2,3,1,2,3,4,5,9,10,11,1,2,3,1,2,3
APO03.01,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,6,7,8
APO03.02,4,5,11,9,4,5,9,10,11,8,9,10,6,10,2,4,5,11,1,2,3,9,10,11,1,10,11,1,2,3,9,10,11,6,7,8
APO07.01,1,2,3,6,7,2,3,6,9
APO07.03,1,2,3,6,7,3,6,5,6,7,5,6,7,11,2,6,8
APO07.04,6,7
APO07.05,2,3,6,9,6,7
APO07.06,1,2,3,2,3,6,9,6,7,6,7,6,7,8,9,6,7,8,3,6,5,6,7,5,6,7,11,6,7,8,9,10,2,6,8
APO08.01,9,4,5,9,10,11,8,9,10
APO09.01,6,7,8
APO09.02,6,7,8
APO09.03,1,2,4,5,11,6,7,8,1,2,3,6,7,1,2,3,6,7,8,9,8,9,10,9,10,11,6,7,6,7,8,9,6,7,8,6,7,8,1,4,5,6,7,8
APO09.04,1,2,3
APO09.05,1,4,5,6,7,8
APO10.01,1,2,3,6,7
APO10.04,1,2,3,6,7,8,6,7,8,9,6,7,8,6,7,8,9,10
APO10.05,1,2,3,6,7,8,1,2,3
APO11.01,1,2,3,1,2,3
APO11.02,1,2,3,1,2,3
APO11.04,1,2,3,1,2,3
APO11.05,1,2,3,1,2,3
APO12,1,2,3
APO12.01,1,2,3,1,2,3,6,7,9,10,11
APO12.02,1,2,3,1,2,3,6,7,9,10,11
APO12.03,1,2,3,1,2,3,6,7,9,10,11
APO12.04,1,2,3,1,2,3,1,2,3,6,7,9,10,11
APO12.05,1,2,3,1,2,3
APO12.06,1,2,3
