AAC-01,CA-2,CA-7,PL-6
AAC-02,CA-1,CA-2,CA-6,RA-5
AAC-03,AC-1,AT-1,AU-1,CA-1,CM-1,CP-1,IA-1,IA-7,IR-1,MA-1,MP-1,PE-1,PL-1,PM-1,PS-1,RA-1,RA-2,SA-1,SA-6,SC-1,SC-13,SI-1
AIS-01,SC-2,SC-3,SC-4,SC-5,SC-6,SC-7,SC-8,SC-9,SC-10,SC-11,SC-12,SC-13,SC-14,SC-17,SC-18,SC-20,SC-21,SC-22,SC-23
AIS-02,CA-1,CA-2,CA-5,CA-6
AIS-03,SI-10,SI-11,SI-2,SI-3,SI-4,SI-6,SI-7,SI-9
AIS-04,AC-1,AC-4,SC-1,SC-16
BCR-01,CP-1,CP-2,CP-3,CP-4,CP-6,CP-7,CP-8,CP-9,CP-10,PE-17
BCR-02,CP-2,CP-3,CP-4
BCR-03,PE-1,PE-4,PE-13
BCR-04,CP-9,CP-10,SA-5,SA-10,SA-11
BCR-05,PE-1,PE-13,PE-14,PE-15,PE-18
BCR-06,PE-1,PE-5,PE-14,PE-15,PE-18
BCR-07,MA-2,MA-3,MA-4,MA-5,MA-6
BCR-08,CP-8,PE-1,PE-9,PE-10,PE-11,PE-12,PE-13,PE-14
BCR-09,RA-3
BCR-10,CM-2,CM-3,CM-4,CM-5,CM-6,CM-9,MA-4,SA-3,SA-4,SA-5,SA-8,SA-10,SA-11,SA-12
BCR-11,CP-2,CP-6,CP-7,CP-8,CP-9,SI-12,AU-11
CCC-01,CA-1,CM-1,CM-9,PL-1,PL-2,SA-1,SA-3,SA-4
CCC-02,SA-4,SA-5,SA-8,SA-9,SA-10,SA-11,SA-12,SA-13
CCC-03,CM-1,CM-2,SA-3,SA-4,SA-5,SA-8,SA-10,SA-11,SA-13
CCC-04,CM-1,CM-2,CM-3,CM-5,CM-7,CM-8,CM-9,SA-6,SA-7,SI-1,SI-3,SI-4,SI-7
CCC-05,CA-1,CA-6,CA-7,CM-2,CM-3,CM-5,CM-6,CM-9,PL-2,PL-5,SI-2,SI-6,SI-7
DCS-02,PE-2,PE-3,PE-6,PE-7,PE-8,PE-18
DCS-03,IA-3,IA-4
DCS-04,AC-17,MA-1,PE-1,PE-16,PE-17
DCS-05,CM-8
DCS-06,PE-2,PE-3,PE-4,PE-5,PE-6
DCS-07,PE-7,PE-16,PE-18
DCS-08,MA-1,MA-2,PE-16
DCS-09,PE-2,PE-3,PE-6,PE-18
DSI-01,RA-2,AC-4
DSI-03,AC-14,AC-21,AC-22,IA-8,AU-10,SC-4,SC-8,SC-9
DSI-04,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
DSI-05,SA-11,CM-04
DSI-06,CA-2,PM-5,PS-2,RA-2,SA-2
DSI-07,MP-6,PE-1
EKM-02,SC-12,SC-13,SC-17,SC-28
EKM-03,AC-18,IA-3,IA-7,SC-7,SC-8,SC-9,SC-13,SC-16,SC-23,SI-8
GRM-01,CM-2,SA-2,SA-4
GRM-02,CA-3,RA-2,RA-3,MP-8,PM-9,SI-12
GRM-03,AT-2,AT-3,CA-1,CA-5,CA-6,CA-7,PM-10
GRM-04,PM-1,PM-2,PM-3,PM-4,PM-5,PM-6,PM-7,PM-8,PM-9,PM-10,PM-11
GRM-05,CM-1,PM-1,PM-11
GRM-06,AC-1,AT-1,AU-1,CA-1,CM-1,IA-1,IR-1,MA-1,MP-1,MP-1,PE-1,PL-1,PS-1,SA-1,SC-1,SI-1
GRM-07,PL-4,PS-1,PS-8
