6.01.(a),PS-2,PS-3
6.01.(b),AC-1,IA-1
6.01.(c),AT-1,AT-2,AT-3,AT-4
6.01.(d),CA-2,CA-7,PL-6,CA-3,RA-2,RA-3,MP-8,PM-9,SI-12,AC-1,IA-1
6.02.(a),RA-3,CA-3,MA-4,RA-3
6.02.(b),AC-1,AC-4,SC-1,SC-16,CA-3,MA-4,RA-3,CA-3,SA-9,SA-12,SC-7
6.02.(c),SC-20,SC-21,SC-22,SC-23,SC-24
6.02.(d),CA-3,SA-9,SA-12,SC-7
6.02.(e),AC-1,AT-1,AU-1,CA-1,CM-1,IA-1,IR-1,MA-1,MP-1,MP-1,PE-1,PL-1,PS-1,SA-1,SC-1,SI-1,AT-1,AT-2,AT-3,AT-4,AC-1,IA-1,CA-3,MP-5,PS-7,SA-6,SA-7,SA-9
6.03.(a),CA-1,CM-1,CM-9,PL-1,PL-2,SA-1,SA-3,SA-4,CA-1,CA-6,CA-7,CM-2,CM-3,CM-5,CM-6,CM-9,PL-2,PL-5,SI-2,SI-6,SI-7,CP-2,RA-2,RA-3,PL-5,RA-2,RA-3,CA-3,MA-4,RA-3
6.03.(b),AC-1,IA-1
6.03.(c),CM-2,CM-3,CM-4,CM-5,CM-6,CM-9,MA-4,SA-3,SA-4,SA-5,SA-8,SA-10,SA-11,SA-12
6.03.(d),SA-11,CM-04,SC-2
6.03.(e),CA-1,CA-2,CA-6,RA-5
6.03.(f),SA-7,SC-5,SI-3,SI-5,SI-7,SI-8
6.03.(g),SC-18
6.03.(h),CP-2,CP-6,CP-7,CP-8,CP-9,SI-12,AU-11,MP-6,PE-1
6.03.(i),AU-9,AU-11,AU-14,AU-1,AU-2,AU-3,AU-4,AU-5,AU-6,AU-7,AU-9,AU-11,AU-12,AU-14,SI-4
6.03.(j),AU-9,AU-11,AU-14,AU-1,AU-2,AU-3,AU-4,AU-5,AU-6,AU-7,AU-9,AU-11,AU-12,AU-14,SI-4
6.03.(k),AU-1,AU-8
6.03.01.(a),CM-2,SA-2,SA-4
6.03.01.(b),CM-1,CM-2,SA-3,SA-4,SA-5,SA-8,SA-10,SA-11,SA-13
6.03.01.(c),SC-2,SC-3,SC-4,SC-5,SC-6,SC-7,SC-8,SC-9,SC-10,SC-11,SC-12,SC-13,SC-14,SC-17,SC-18,SC-20,SC-21,SC-22,SC-23
6.03.01.(d),CM-1,CM-2,SA-3,SA-4,SA-5,SA-8,SA-10,SA-11,SA-13
6.03.02.(a),CM-3,CM-4,CP-10,RA-5,SA-7,SI-1,SI-2,SI-5
6.03.02.(b),CM-3,CM-4,CP-10,RA-5,SA-7,SI-1,SI-2,SI-5
6.03.03.(a),AU-1,AU-2,AU-3,AU-4,AU-5,AU-6,AU-7,AU-9,AU-11,AU-12,AU-14,SI-4,SC-7
6.03.03.(b),AC-4,SC-2,SC-3,SC-7
6.03.03.(c),RA-3
6.03.03.(d),AU-1,AU-2,AU-3,AU-4,AU-5,AU-6,AU-7,AU-9,AU-11,AU-12,AU-14,SI-4,SC-7
6.03.04.(a),CM-2,SA-2,SA-4
6.03.04.(b),CM-2,SA-2,SA-4,AC-1,IA-1,AC-3,AC-5,AC-6,IA-2,IA-4,IA-5,IA-8,MA-5,PS-6,SA-7,SI-9,AC-2,PS-4,PS-5,AC-1,AC-2,AC-3,AC-11,AU-2,AU-11,IA-1,IA-2,IA-5,IA-6,IA-8,SC-10
6.03.04.(c),CM-2,SA-2,SA-4,AC-1,IA-1,AC-3,AC-5,AC-6,IA-2,IA-4,IA-5,IA-8,MA-5,PS-6,SA-7,SI-9,AC-2,PS-4,PS-5,AC-1,AC-2,AC-3,AC-11,AU-2,AU-11,IA-1,IA-2,IA-5,IA-6,IA-8,SC-10
6.03.04.(d),SC-7
6.03.04.(e),CM-2,SA-2,SA-4,AU-1,AU-2,AU-3,AU-4,AU-5,AU-6,AU-7,AU-9,AU-11,AU-12,AU-14,SI-4
6.03.05.(a),AC-4,SC-2,SC-3,SC-7
6.03.05.(b),AC-16,MP-1,MP-3,PE-16,SI-12,SC-9,AC-1,IA-1,AC-4,SC-2,SC-3,SC-7
