00.a,1,2
01.a,6,7,8
01.b,6,7,8,9,10
01.c,6,7,8,9,10
01.d,6,7,8,9
01.e,6,7,8,10
01.g,5,6,7
01.h,5,6,7,11
01.i,6,7,8,9,10,1,2,3,9,10,11
01.k,1,2,3,5,8
01.l,3,4,5,6,7,8
01.m,1,2,3,9,10,11,1,2,3,9,10,11
01.n,1,2,3,9,10,11,1,2,3,9,10,11
01.s,1,5,6,7
01.v,6,7,8,9,10
02.a,6,7,8
02.b,2,3,6,9
02.c,6,7
02.d,6,7,8,5,6,7
02.e,3,6
02.f,6,7
02.g,6,7,6,7,8
02.i,6,7,8
03.b,1,2,3,6,7,9,10,11
04.a,1,2,3
04.b,1,2,3
05.a,1,2,3,6
05.c,1,2,6,7,8
05.e,6,7,8,9
05.f,1,2,3
05.g,1,2,3
05.h,1,2,3
05.i,1,4,5,6,7,8
05.j,6,7,8
05.k,6,7,8,1,4,5,6,7,8,1,2,3
06.a,1,2,3
06.d,9,10,11,4,5,9,10,11
06.g,6,7,8
06.i,1,2,3,1,2,3
06.j,1,2,3,2,5,11
07.b,6,10
07.c,1,2,3
07.d,9
07.e,8,9,10
08.a,1,2,3,5
08.b,1,2,3,5,1,2,3,5
08.c,1,2,3,5
08.d,1,2,3
08.f,6,7
08.g,1,2,3
08.h,1,2,3,4,9,11,1,2,3
08.i,1,2,3,4,9,11,1,2,3,5
08.j,2,5,11
08.k,4,5,11,6,7,8
08.l,11
08.m,4,5,11
09.a,1,2,4,5,11,1,2,3,6,7
09.aa,6,7,11
09.ab,6,7,11
09.ad,6,7,11
09.ae,6,7,11
09.c,6,7,8,10
09.d,1,10,11
09.e,1,2,3
09.f,1,2,3
09.h,1,2,3
09.i,1,2,3,1,2,3,1,2,3,11
09.j,4,5
09.k,4,5,1,2,3,5,11
09.l,11,4,5,9,10,11
09.m,1,2,3,9,10,11,1,2,3,4,5,9,10,11
09.n,6,7,8
09.o,4,5,9,10,11
09.p,11
09.r,1,2,4,5,11
09.s,4,5,9,10,11
09.t,1,4,5,6,7,8
09.x,4,5,9,10,11
09.y,4,5,9,10,11
10.a,2,4,5,11
10.b,1,2,4,5,11,1,9,11
10.c,1,2,4,5,11
10.e,1,2,4,5,11,1,9,11
10.f,4,5,9,10,11,1,2,3
10.g,9,10,11
10.h,1,2,3,5,11
10.i,9,10,11
10.j,6,7,9,10,6,7,8,9,10
10.k,1,2,3,11
10.l,1,2,3
10.m,4,5
11.a,2,6,8,2,6,8
11.b,2,6,8
11.c,2,6,8,2,6,8
12.a,1,2,3
12.b,1,2,3
12.c,1,2,3
12.d,1,2,3
12.e,1,2,3
