A.10.1,IA-5,SC-12,SC-12,SC-13
A.10.1.1,SI-10,AC-1,AU-1,AT-1,CM-1,CP-1,IA-1,IR-1,MA-1,MP-1,PS-1,PE-1,PL-1,RA-1,CA-1,SI-1,SA-1,PL-2,SC-1,IA-5,SC-12,SC-12,SC-8,SC-8,SC-13,SC-28,SC-28,SC-13,AC-18,SA-9
A.10.1.2,IA-5,SC-12,SC-12,SC-12,SC-13,SC-13,AC-18
A.11.1.1,PE-3,PE-6,PE-1,PE-17,PE-3,PE-2,MP-2,MP-4,MA-5,MA-5,PE-5
A.11.1.2,PE-3,PE-6,PE-1,PE-17
A.11.1.4,PE-1,PE-13,PE-13(2),PE-13(3),PE-14,PE-15,RA-3,CP-6,CP-6(1),CP-6(3),CP-7,CP-7(1),CP-7(2),CP-7(3)
A.11.1.5,AC-2,PL-4,SC-1
A.11.1.6,PE-3,PE-6,PE-6,PE-2
A.11.2.1,PE-1,PE-13,PE-13(2),PE-13(3),PE-14,PE-15,RA-3,CP-6,CP-6(1),CP-6(3),CP-7,CP-7(1),CP-7(2),CP-7(3),CP-6,CP-6(1),CP-7,CP-7(1),AC-18
A.11.2.2,PE-1,PE-4,PE-11,PE-14,CP-8,CP-8(1),CP-8(2),PE-1,PE-13,PE-13(2),PE-13(3),PE-14,PE-15,RA-3,CP-6,CP-6(1),CP-6(3),CP-7,CP-7(1),CP-7(2),CP-7(3),CP-8,CP-8(1),CP-8(2),PE-9,PE-10,PE-11,PE-12,PE-14
A.11.2.3,PE-1,PE-4,PE-11,PE-14,CP-8,CP-8(1),CP-8(2),CP-8,CP-8(1),CP-8(2),PE-9,PE-10,PE-11,PE-12,PE-14
A.11.2.4,MA-1,MA-2,MA-3,MA-3(1),MA-3(2),MA-3(3),MA-4,MA-4(2),MA-5,MA-5(1),MA-6,CP-8,CP-8(1),CP-8(2),PE-9,PE-10,PE-11,PE-12,PE-14,AC-18
A.11.2.5,PE-3,PE-6,PE-6,PE-5
A.11.2.6,MP-5,PE-16
A.11.2.7,MP-5,PE-16,MP-1,MP-6
A.11.2.8,AT-1,PS-1,AC-2,PL-4,SC-1
A.11.2.9,AC-2,PL-4,SC-1
A.12.1.1,SA-5,AC-1,AU-1,AT-1,CM-1,CP-1,IA-1,IR-1,MA-1,MP-1,PS-1,PE-1,PL-1,RA-1,CA-1,SI-1,SA-1,SC-1,CM-1,CM-3
A.12.1.2,PE-3,PE-6,PE-6,PE-5,CA-5,RA-1,CM-8(3),CM-1,CM-9
A.12.1.3,CP-2,CP-2(2)
A.12.1.4,SA-9,SA-10,CM-1,CM-3,CM-4,SA-9,CM-6,SC-7,AC-4,AC-4(21)
A.12.2.1,CM-11,SI-7,CM-6,SI-3,SC-18
A.12.3.1,SI-12
A.12.4,CM-8(3),CM-1,CM-9
A.12.4.1,AU-9,RA-5(8),AU-9,RA-5(8),AU-9,RA-5(8),CM-8(3),CM-1,CM-9,AU-8,SC-7,SC-7(5),SC-7(4),AC-4,AC-4(21),CM-6,AC-18
A.12.4.2,AU-9,RA-5(8),CM-8(3),CM-1,CM-9
A.12.4.3,AU-9,RA-5(8),AU-9,RA-5(8),CM-8(3),CM-1,CM-9
A.12.4.4,AU-8
A.12.5.1,SA-1,SA-10,SA-9(1),SA-9,SA-10,CM-1,CM-3,CM-11,SI-7
A.12.6.1,RA-5,SA-3,SI-2,SI-10,SA-9,SA-10,CM-1,CM-3,RA-3,SC-8,SC-8(1),CM-8(3),CM-1,CM-9,CM-6,SC-8,AC-4,AC-4(21),AC-3,AC-6,AC-6(1),AC-6(2),AC-6(5),AC-6(10),IA-5,AT-1,AT-2,CM-11,AC-19,AC-20,CM-11,AC-19,AT-2,CM-11,AC-20,AT-2,PS-6,AC-20,AC-19,AC-20,AC-20,SA-9,CA-3,AC-19,CM-2,AC-20,PL-4,PS-6,CM-1,CM-8(1),CM-8(3),CM-8(5),CM-9,SC-28,SC-28,AC-19(5),AC-19,AC-20,AC-20(1),CM-1,CM-3,AC-20,AC-20(1),AC-19,AC-8,AC-20,AC-11,AC-11(1),AC-20,AC-20(1),CM-9,CM-11,AC-20,AC-20(1),AC-19,IA-1,IA-5(1),IA-5(4),AC-19,AC-20,AC-20(1),AC-20,SI-3,CM-11,AC-19,MP-6,AC-20,AC-19,CM-2(1),CM-2(2),CM-11,SI-6,AC-20,AC-19,AC-20,AC-19,SA-9,PS-7,AC-5,AC-6,CA-2,CM-9,RA-5,SI-2
A.12.6.2,CM-8(3),CM-1,CM-9
A.12.7.1,CA-1,CA-2,CA-2(1),CA-7,CA-7(1)
A.13.1.1,RA-2,SC-8,SC-8(1),SC-8,SC-8,SC-13,SC-28,SC-28,AC-2,MA-3,MA-4,AC-3,CM-5,CM-5,CM-5,SC-7,SC-7(5),SC-7(4),AC-4,AC-4(21),AC-18
A.13.1.2,RA-2,SC-8,SC-8(1),SC-7,SC-7(5),SC-7(4),AC-4,AC-4(21),AC-18,SA-9,SA-9
A.13.1.3,SC-7,SC-7(5),SC-7(4),AC-4,AC-4(21),AC-4,AC-4(21),SC-4,AC-18
A.13.2.1,SI-10,AC-1,AU-1,AT-1,CM-1,CP-1,IA-1,IR-1,MA-1,MP-1,PS-1,PE-1,PL-1,RA-1,CA-1,SI-1,SA-1,PL-2,SC-1,MP-1,MP-3,AC-18
A.13.2.2,SI-10,AC-1,AU-1,AT-1,CM-1,CP-1,IA-1,IR-1,MA-1,MP-1,PS-1,PE-1,PL-1,RA-1,CA-1,SI-1,SA-1,PL-2,SC-1,SA-9
A.13.2.3,SC-8,SC-8,SC-13,SC-28,SC-28
A.13.2.4,PS-6,PS-6,PS-7
A.14.1.1,SA-1,SA-10,SA-9(1),SA-9,SA-10,CM-1,CM-3,CM-2,CM-2(1),CM-3,CM-6,SA-4,SA-10
A.14.1.2,RA-2,SC-8,SC-8(1),SC-8,SC-8,SC-13,SC-28,SC-28,SC-7,SC-7(5),SC-7(4),AC-4,AC-4(21)
A.14.1.3,RA-2,SC-8,SC-8(1),SC-8,SC-8,SC-13,SC-28,SC-28
A.14.2.2,SA-9,SA-10,CM-1,CM-3,CM-4,SA-9,SC-7,AC-4,AC-4(21),CM-9,RA-5,SI-2
A.14.2.3,RA-5,SA-3,SI-2,SI-10,SA-9,SA-10,CM-1,CM-3,CM-4,SA-9,RA-3,SC-8,SC-8(1),SC-7,AC-4,AC-4(21),SC-8,AC-4,AC-4(21),AC-3,AC-6,AC-6(1),AC-6(2),AC-6(5),AC-6(10),IA-5,AT-1,AT-2,CM-11,AC-19,AC-20,CM-11,AC-19,AT-2,CM-11,AC-20,AT-2,PS-6,AC-20,AC-19,AC-20,AC-20,SA-9,CA-3,AC-19,CM-2,AC-20,PL-4,PS-6,CM-1,CM-8(1),CM-8(3),CM-8(5),CM-9,SC-28,SC-28,AC-19(5),AC-19,AC-20,AC-20(1),CM-1,CM-3,AC-20,AC-20(1),AC-19,AC-8,AC-20,AC-11,AC-11(1),AC-20,AC-20(1),CM-9,CM-11,AC-20,AC-20(1),AC-19,IA-1,IA-5(1),IA-5(4),AC-19,AC-20,AC-20(1),AC-20,SI-3,CM-11,AC-19,MP-6,AC-20,AC-19,CM-2(1),CM-2(2),CM-11,SI-6,AC-20,AC-19,AC-20,AC-19,SA-9,PS-7,AC-5,AC-6,CA-2,CM-9,RA-5,SI-2
