11,10.1,10.2,10.3,10.4,10.5
13,10.1,10.2,10.3,10.4,10.5
20,19.1,19.2,19.3,19.4,19.5,19.6,19.7,19.1,19.2,19.3,19.4,19.5,19.6,19.7
39,17.1,17.2,17.3,18.6
41,17.1,17.2,17.3,18.6
