6.01.(a),HR-01
6.01.(b),IDM-01,IDM-06,IDM-07,IDM-08
6.01.(c),HR-03
6.01.(d),COM-02,SPN-03,OIS-07,RB-03,RB-06,AM-05,IDM-01,IDM-01,IDM-06,IDM-07,IDM-08
6.02.(a),BCM-02,DLL-01,SPN-03
6.02.(b),DLL-01,SPN-03,DLL-01,DLL-02
6.02.(c),RB-01,DLL-02
6.02.(d),DLL-02,DLL-01,DLL-02
6.02.(e),SA-01,HR-03,IDM-01,IDM-06,IDM-07,IDM-08,DLL-01,BEI-03,SIM-01,COM-03,PI-03,KOS-08
6.03.(a),BEI-01,BEI-03,BEI-04,BEI-05,BEI-06,SA-02,OIS-07,DLL-01,SPN-03
6.03.(b),IDM-01,IDM-06,IDM-07,IDM-08
6.03.(c),BCM-01
6.03.(d),BEI-11,BEI-11,RB-23
6.03.(e),COM-03
6.03.(f),RB-05
6.03.(h),RB-06,RB-08,AM-07,PI-05,RB-11,RB-13
6.03.(i),RB-13,RB-10,RB-13,RB-14
6.03.(j),RB-13,RB-10,RB-13,RB-14
6.03.01.(a),SPN-03,BEI-03,BEI-01
6.03.01.(b),BEI-07
6.03.01.(c),BEI-01
6.03.01.(d),BEI-07
6.03.02.(a),RB-17,RB-18,RB-19,RB-20,RB-21,RB-22
6.03.02.(b),RB-17,RB-18,RB-19,RB-20,RB-21,RB-22
6.03.03.(a),RB-10,RB-13,RB-14,KOS-02
6.03.03.(b),KOS-05,RB-23
6.03.03.(c),BCM-02
6.03.03.(d),RB-10,RB-13,RB-14,KOS-02
6.03.04.(a),SPN-03,BEI-03,BEI-01
6.03.04.(b),SPN-03,BEI-03,BEI-01,IDM-01,IDM-06,IDM-07,IDM-08,IDM-03,IDM-04,IDM-08
6.03.04.(c),SPN-03,BEI-03,BEI-01,IDM-01,IDM-06,IDM-07,IDM-08,IDM-03,IDM-04,IDM-08
6.03.04.(d),KOS-02
6.03.04.(e),SPN-03,BEI-03,BEI-01,RB-10,RB-13,RB-14
6.03.05.(a),KOS-05,RB-23
