11,CP-2,CP-6,CP-7,CP-8,CP-9,SI-12,AU-11,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
12,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
13,CP-2,CP-6,CP-7,CP-8,CP-9,SI-12,AU-11
14,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9,CA-3,MP-5,PS-7,SA-6,SA-7,SA-9,CA-3,SA-9,SA-12,SC-7
16(I),AT-5,IR-6,SI-5
18,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
19,PE-2,PE-3,PE-6,PE-18,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9,CM-2,SA-2,SA-4,PM-1,PM-2,PM-3,PM-4,PM-5,PM-6,PM-7,PM-8,PM-9,PM-10,PM-11,AC-4,CA-2,CA-6,PM-9,RA-1
20,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9,IR-1,IR-2,IR-3,IR-4,IR-5,IR-7,IR-8,IR-2,IR-6,IR-7,SI-4,SI-5
21,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9,CA-3,SA-9,SA-12,SC-7
25,CA-3,SA-9,SA-12,SC-7
3(V),RA-2,AC-4
3(VI),RA-2,AC-4
30,CA-2,PM-5,PS-2,RA-2,SA-2
36,CA-3,SA-9,SA-12,SC-7
39,CM-2,SA-2,SA-4,CM-1,PM-1,PM-11,AC-1,AT-1,AU-1,CA-1,CM-1,IA-1,IR-1,MA-1,MP-1,MP-1,PE-1,PL-1,PS-1,SA-1,SC-1,SI-1,AT-1,AT-2,AT-3,AT-4,AT-2,AT-3,AT-4,PL-4
39(I),CA-1,CA-2,CA-6,RA-5
39(VIII),CA-1,CA-2,CA-6,RA-5
41,AT-1,AT-2,AT-3,AT-4,AT-2,AT-3,AT-4,PL-4
44,AT-5,IR-6,SI-5
59,CA-1,CA-2,CA-6,RA-5
64,PL-4,PS-1,PS-8
8,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
9,AC-16,MP-1,MP-3,PE-16,SI-12,SC-9
